               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   2,            0.038245,            0.025723,           0.0036757,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082526,           0.0082526,           0.0082526
                   3,            0.041321,            0.028032,           0.0045978,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082526,           0.0082526,           0.0082526
                   4,            0.039802,            0.026659,           0.0039566,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072339,           0.0072339,           0.0072339
                   5,            0.038415,            0.025974,           0.0035299,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062152,           0.0062152,           0.0062152
                   6,            0.037335,            0.025154,           0.0032743,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051965,           0.0051965,           0.0051965
                   7,            0.036419,            0.024243,           0.0030095,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041777,           0.0041777,           0.0041777
                   8,            0.035187,             0.02353,            0.002769,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003159,            0.003159,            0.003159
                   9,            0.034191,            0.022683,           0.0026025,             0.90216,             0.72262,             0.77757,             0.46026,            0.034046,            0.017421,           0.0019676,           0.0021403,           0.0021403,           0.0021403
                   0,            0.036372,            0.018932,           0.0026572,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.074894,           0.0033815,           0.0033815
                   1,            0.036274,            0.018456,            0.002994,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.037474,           0.0061011,           0.0061011
                   2,            0.040309,            0.022025,           0.0044645,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075564,           0.0075564,           0.0075564
                   3,            0.042769,            0.023381,            0.005078,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075564,           0.0075564,           0.0075564
                   4,            0.041013,            0.022377,           0.0042903,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0066245,           0.0066245,           0.0066245
                   5,            0.039762,             0.02155,           0.0038662,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056927,           0.0056927,           0.0056927
                   6,            0.038536,            0.020928,           0.0035914,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047609,           0.0047609,           0.0047609
                   7,            0.037478,            0.020211,           0.0032657,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038291,           0.0038291,           0.0038291
                   8,            0.036429,            0.019812,           0.0030788,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028973,           0.0028973,           0.0028973
                   9,            0.035245,            0.019006,           0.0028625,             0.89694,             0.72412,             0.77545,             0.45263,            0.035198,            0.014708,           0.0021172,           0.0019655,           0.0019655,           0.0019655
                   0,            0.029636,            0.018793,            0.002414,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.074144,           0.0033815,           0.0033815
                   1,             0.02949,             0.01828,           0.0026816,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.037146,           0.0061012,           0.0061012
                   2,             0.03316,            0.021478,           0.0039275,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075567,           0.0075567,           0.0075567
                   3,            0.035279,            0.023061,           0.0044308,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075567,           0.0075567,           0.0075567
                   4,            0.033906,            0.022038,           0.0038102,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006625,            0.006625,            0.006625
                   5,            0.032769,            0.021262,           0.0034204,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056934,           0.0056934,           0.0056934
                   6,            0.032018,            0.020742,           0.0031798,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047617,           0.0047617,           0.0047617
                   7,            0.030982,            0.019961,            0.002962,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038301,           0.0038301,           0.0038301
                   8,            0.030122,            0.019274,           0.0027953,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028984,           0.0028984,           0.0028984
                   9,            0.029257,             0.01866,           0.0025357,             0.90542,             0.72366,             0.78115,             0.45559,            0.028964,             0.01476,           0.0019136,           0.0019667,           0.0019667,           0.0019667
                   0,            0.034723,            0.023683,            0.002439,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.071944,           0.0033301,           0.0033301
                   1,            0.034338,            0.022316,           0.0025929,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.035606,           0.0060078,           0.0060078
                   2,            0.037066,             0.02573,           0.0036849,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073785,           0.0073785,           0.0073785
                   3,            0.039576,            0.027937,           0.0043443,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073785,           0.0073785,           0.0073785
                   4,            0.038175,            0.026943,           0.0037813,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0064677,           0.0064677,           0.0064677
                   5,            0.036996,            0.025885,           0.0034064,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005557,            0.005557,            0.005557
                   6,             0.03597,            0.025293,           0.0032121,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046462,           0.0046462,           0.0046462
                   7,            0.034994,            0.024326,           0.0029653,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037355,           0.0037355,           0.0037355
                   8,            0.034016,            0.023763,           0.0027605,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028247,           0.0028247,           0.0028247
                   9,             0.03307,            0.022827,           0.0025804,              0.9069,             0.72339,             0.78195,             0.46671,            0.033193,             0.01784,           0.0020101,            0.001914,            0.001914,            0.001914
                   0,            0.035859,            0.023588,           0.0027268,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.069832,            0.003423,            0.003423
                   1,            0.035636,            0.022568,           0.0029351,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.038915,           0.0061753,           0.0061753
                   2,            0.038302,            0.026088,           0.0038776,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081724,           0.0081724,           0.0081724
                   3,            0.041255,            0.028363,           0.0048907,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081724,           0.0081724,           0.0081724
                   4,            0.039753,            0.026938,           0.0041488,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071636,           0.0071636,           0.0071636
                   5,            0.038458,            0.026281,            0.003768,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061548,           0.0061548,           0.0061548
                   6,            0.037407,            0.025534,           0.0035017,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051459,           0.0051459,           0.0051459
                   7,            0.036435,            0.024578,            0.003229,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041371,           0.0041371,           0.0041371
                   8,            0.035221,            0.023881,           0.0029577,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031283,           0.0031283,           0.0031283
                   9,            0.034267,             0.02302,              0.0028,              0.9011,             0.71958,             0.77425,             0.45427,            0.034723,            0.018103,           0.0021667,           0.0021195,           0.0021195,           0.0021195
                   0,             0.03613,            0.025467,           0.0027201,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070175,           0.0033192,           0.0033192
                   1,            0.036192,            0.025011,           0.0029806,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040566,           0.0059881,           0.0059881
                   2,            0.039148,            0.028628,           0.0041036,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010299,           0.0079983,           0.0079983
                   3,            0.041521,            0.030918,           0.0047811,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071776,           0.0071776,           0.0071776
                   4,             0.04094,            0.030095,            0.004389,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071776,           0.0071776,           0.0071776
                   5,            0.039718,            0.029461,           0.0039263,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061668,           0.0061668,           0.0061668
                   6,            0.038499,            0.028076,           0.0036002,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051561,           0.0051561,           0.0051561
