               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.019381,           0.0052198,           0.0019757,             0.93091,             0.74393,             0.80344,             0.51044,            0.019595,           0.0045391,           0.0015759,           0.0074449,           0.0074449,           0.0074449
                  35,            0.019335,           0.0051572,           0.0019638,             0.93517,             0.73897,             0.80044,              0.5115,            0.019542,           0.0045293,           0.0015456,           0.0074321,           0.0074321,           0.0074321
                  36,            0.019368,           0.0052446,           0.0019567,             0.93789,             0.73876,             0.80825,              0.5166,            0.019518,           0.0045235,           0.0015523,           0.0074192,           0.0074192,           0.0074192
                  37,            0.019274,           0.0051789,           0.0019821,             0.92876,             0.74255,              0.8049,             0.51464,            0.019488,           0.0045203,           0.0015523,           0.0074063,           0.0074063,           0.0074063
                  38,            0.019291,           0.0052011,           0.0019419,              0.9274,             0.74917,             0.80621,             0.51447,            0.019457,           0.0045154,           0.0015541,           0.0073934,           0.0073934,           0.0073934
                  39,            0.019232,            0.005156,           0.0019653,             0.93441,              0.7472,             0.80688,             0.51628,            0.019445,           0.0045061,           0.0015475,           0.0073805,           0.0073805,           0.0073805
                  40,            0.019349,            0.005205,           0.0020013,              0.9276,             0.74832,             0.80931,             0.51633,            0.019439,           0.0044997,           0.0015474,           0.0073677,           0.0073677,           0.0073677
                  41,            0.019341,           0.0052173,           0.0019711,             0.92786,             0.74732,              0.8105,             0.51839,            0.019426,           0.0044924,           0.0015485,           0.0073548,           0.0073548,           0.0073548
                  42,            0.019279,           0.0052188,           0.0019932,             0.92408,             0.74701,             0.81411,             0.51904,            0.019398,            0.004486,           0.0015425,           0.0073419,           0.0073419,           0.0073419
                  43,            0.019264,           0.0052002,           0.0019825,             0.93649,             0.74163,             0.82593,             0.52528,            0.019357,           0.0044752,           0.0015469,            0.007329,            0.007329,            0.007329
                  44,            0.019248,           0.0052106,           0.0019981,             0.93342,             0.74202,             0.82801,             0.52785,            0.019318,            0.004468,           0.0015435,           0.0073161,           0.0073161,           0.0073161
                  45,            0.019199,           0.0052091,           0.0019723,             0.93013,             0.74351,             0.82539,             0.52842,            0.019284,           0.0044598,           0.0015367,           0.0073032,           0.0073032,           0.0073032
                  46,            0.019237,           0.0051934,           0.0019371,             0.92593,             0.74996,              0.8237,             0.52837,             0.01927,            0.004457,           0.0015332,           0.0072904,           0.0072904,           0.0072904
                  47,            0.019219,            0.005165,           0.0019757,             0.92433,             0.75508,             0.82428,             0.52981,            0.019248,           0.0044531,           0.0015298,           0.0072775,           0.0072775,           0.0072775
                  48,             0.01918,           0.0051416,           0.0019566,             0.92899,             0.75519,             0.82295,             0.52837,            0.019222,           0.0044483,           0.0015263,           0.0072646,           0.0072646,           0.0072646
                  49,            0.019168,           0.0052257,           0.0019641,             0.92555,              0.7551,              0.8253,             0.52858,             0.01919,           0.0044421,           0.0015222,           0.0072517,           0.0072517,           0.0072517
                  50,            0.019103,           0.0051465,           0.0019349,             0.92484,             0.75513,             0.82546,              0.5292,            0.019166,           0.0044366,           0.0015215,           0.0072388,           0.0072388,           0.0072388
                  51,            0.019119,           0.0052016,           0.0018793,             0.92406,              0.7579,             0.82616,             0.52913,            0.019147,           0.0044328,           0.0015216,            0.007226,            0.007226,            0.007226
                  52,            0.019145,           0.0051661,           0.0019973,             0.92392,             0.75782,             0.82596,             0.52959,            0.019138,           0.0044309,           0.0015199,           0.0072131,           0.0072131,           0.0072131
                  53,            0.019073,           0.0051993,           0.0019394,             0.92401,             0.75827,             0.82531,             0.52982,            0.019123,           0.0044267,            0.001515,           0.0072002,           0.0072002,           0.0072002
                  54,            0.019087,           0.0051557,           0.0019387,             0.92348,             0.75992,             0.82636,             0.53119,            0.019102,           0.0044218,           0.0015107,           0.0071873,           0.0071873,           0.0071873
                  55,            0.019173,           0.0051563,           0.0019525,             0.92505,             0.75824,             0.82918,             0.53179,            0.019087,           0.0044185,           0.0015067,           0.0071744,           0.0071744,           0.0071744
                  56,            0.019141,           0.0051565,           0.0019385,             0.92653,              0.7577,             0.82889,             0.53217,            0.019069,            0.004415,           0.0015037,           0.0071616,           0.0071616,           0.0071616
                  57,            0.019138,           0.0051999,           0.0019517,             0.92607,             0.75701,             0.82915,             0.53238,            0.019059,           0.0044133,           0.0015017,           0.0071487,           0.0071487,           0.0071487
                  58,            0.019138,           0.0051899,           0.0018898,             0.92426,             0.75831,             0.82985,             0.53243,            0.019053,           0.0044126,           0.0014998,           0.0071358,           0.0071358,           0.0071358
                  59,            0.019152,           0.0051698,           0.0019211,              0.9216,             0.76063,             0.82941,             0.53214,            0.019045,           0.0044107,           0.0014985,           0.0071229,           0.0071229,           0.0071229
                  60,            0.019003,           0.0051657,           0.0019139,             0.92159,             0.76081,             0.82889,             0.53231,            0.019037,           0.0044091,           0.0014964,             0.00711,             0.00711,             0.00711
                  61,            0.019028,           0.0051825,           0.0018838,             0.92071,             0.76018,             0.82876,             0.53237,            0.019026,           0.0044065,           0.0014951,           0.0070972,           0.0070972,           0.0070972
                  62,            0.019154,           0.0051382,           0.0019711,             0.92072,             0.76035,             0.82855,             0.53237,            0.019014,           0.0044046,           0.0014922,           0.0070843,           0.0070843,           0.0070843
                  63,            0.019135,           0.0051695,           0.0019649,             0.92027,             0.75861,             0.82855,             0.53229,            0.019003,            0.004403,           0.0014894,           0.0070714,           0.0070714,           0.0070714
                  64,             0.01901,           0.0051226,           0.0019623,             0.92186,             0.75885,             0.82952,             0.53271,            0.018991,           0.0044013,           0.0014874,           0.0070585,           0.0070585,           0.0070585
                  65,            0.018951,           0.0051593,           0.0018704,             0.92142,             0.75986,             0.83172,             0.53337,            0.018975,           0.0043986,           0.0014853,           0.0070456,           0.0070456,           0.0070456
                  66,            0.019078,           0.0051869,           0.0019694,             0.92171,             0.75932,             0.83178,             0.53298,            0.018966,           0.0043974,           0.0014836,           0.0070328,           0.0070328,           0.0070328
                  67,            0.018947,           0.0051292,           0.0019188,             0.92056,             0.75723,             0.83018,             0.53434,            0.018954,           0.0043955,           0.0014826,           0.0070199,           0.0070199,           0.0070199
                  68,            0.018976,           0.0051551,            0.001932,             0.92166,             0.75735,             0.83042,             0.53489,            0.018943,           0.0043932,           0.0014814,            0.007007,            0.007007,            0.007007
                  69,            0.018995,           0.0051538,           0.0019269,             0.92143,             0.75795,             0.83109,             0.53567,            0.018933,           0.0043913,           0.0014796,           0.0069941,           0.0069941,           0.0069941
                  70,             0.01902,            0.005207,           0.0019343,             0.92228,             0.75627,             0.83077,             0.53541,            0.018923,           0.0043896,            0.001478,           0.0069812,           0.0069812,           0.0069812
