               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037113,            0.025822,           0.0041491,             0.84364,             0.63708,             0.70065,             0.37714,            0.033268,            0.017778,           0.0025509,            0.008845,            0.008845,            0.008845
                  37,            0.037082,            0.025562,           0.0041393,              0.8434,             0.64406,             0.70603,              0.3805,            0.033171,            0.017724,           0.0025134,            0.008812,            0.008812,            0.008812
                  38,            0.036957,            0.025565,           0.0040712,             0.86179,             0.63941,             0.70928,             0.37985,            0.033061,              0.0177,            0.002478,            0.008779,            0.008779,            0.008779
                  39,            0.036763,             0.02557,           0.0040599,             0.86476,             0.64173,             0.71081,             0.38295,            0.032981,            0.017669,           0.0024493,            0.008746,            0.008746,            0.008746
                  40,            0.036814,            0.025507,           0.0040724,             0.85737,             0.65071,              0.7162,             0.38438,            0.032897,            0.017626,           0.0024232,            0.008713,            0.008713,            0.008713
                  41,            0.036796,            0.025527,           0.0039944,             0.86447,             0.65359,             0.71817,             0.38427,             0.03281,              0.0176,           0.0023959,             0.00868,             0.00868,             0.00868
                  42,            0.036655,            0.025505,               0.004,             0.86181,             0.65465,             0.71931,             0.38606,            0.032732,            0.017563,           0.0023681,            0.008647,            0.008647,            0.008647
                  43,            0.036574,            0.025324,           0.0039505,             0.86331,             0.65681,             0.72091,              0.3876,            0.032658,            0.017525,           0.0023475,            0.008614,            0.008614,            0.008614
                  44,            0.036361,            0.025349,           0.0039008,             0.86659,             0.65541,             0.72228,              0.3892,            0.032573,            0.017499,           0.0023277,            0.008581,            0.008581,            0.008581
                  45,            0.036402,            0.025277,           0.0039236,             0.85859,             0.66137,             0.72394,              0.3899,            0.032489,            0.017469,            0.002313,            0.008548,            0.008548,            0.008548
                  46,            0.036211,            0.025223,           0.0038824,             0.86498,             0.65951,             0.72606,             0.39242,             0.03242,            0.017442,           0.0022995,            0.008515,            0.008515,            0.008515
                  47,            0.036155,            0.024998,           0.0038632,             0.86549,             0.66121,             0.72874,             0.39404,            0.032359,            0.017415,           0.0022884,            0.008482,            0.008482,            0.008482
                  48,            0.035976,            0.024952,           0.0037688,             0.86802,             0.66219,             0.72987,             0.39609,            0.032301,            0.017392,           0.0022733,            0.008449,            0.008449,            0.008449
                  49,            0.036043,            0.025018,           0.0037818,             0.86771,             0.66091,             0.73083,             0.39642,            0.032256,            0.017375,           0.0022637,            0.008416,            0.008416,            0.008416
                  50,             0.03591,            0.024887,            0.003733,              0.8649,             0.66379,              0.7313,             0.39771,            0.032214,            0.017354,           0.0022536,            0.008383,            0.008383,            0.008383
                  51,            0.035731,            0.025084,           0.0036953,             0.86816,             0.66504,             0.73244,             0.39846,            0.032168,            0.017334,           0.0022414,             0.00835,             0.00835,             0.00835
                  52,            0.035894,            0.025004,           0.0037947,             0.87375,              0.6646,             0.73385,              0.4001,            0.032125,            0.017315,           0.0022304,            0.008317,            0.008317,            0.008317
                  53,            0.035502,            0.024877,           0.0036952,             0.87696,             0.66293,             0.73401,             0.40037,            0.032076,            0.017297,           0.0022174,            0.008284,            0.008284,            0.008284
                  54,            0.035662,             0.02481,           0.0036931,             0.87699,             0.66322,             0.73335,             0.40118,             0.03203,            0.017277,           0.0022068,            0.008251,            0.008251,            0.008251
                  55,            0.035502,            0.024773,           0.0036999,             0.87915,             0.66189,             0.73368,             0.40201,            0.031986,            0.017261,           0.0021975,            0.008218,            0.008218,            0.008218
                  56,            0.035539,            0.024564,           0.0036497,              0.8776,             0.66235,             0.73407,             0.40288,            0.031944,            0.017243,           0.0021897,            0.008185,            0.008185,            0.008185
                  57,            0.035503,            0.024695,           0.0036294,             0.87649,             0.66465,             0.73487,             0.40401,            0.031911,             0.01723,           0.0021808,            0.008152,            0.008152,            0.008152
                  58,            0.035525,            0.024814,           0.0036169,             0.86836,             0.66937,             0.73564,             0.40483,            0.031879,            0.017213,           0.0021734,            0.008119,            0.008119,            0.008119
                  59,            0.035383,            0.024546,           0.0035585,             0.86926,             0.67104,             0.73716,             0.40545,            0.031846,            0.017196,           0.0021671,            0.008086,            0.008086,            0.008086
                  60,            0.035187,            0.024477,           0.0035664,             0.86709,               0.674,             0.73773,             0.40645,            0.031813,            0.017183,            0.002161,            0.008053,            0.008053,            0.008053
                  61,            0.035005,            0.024693,            0.003481,             0.86838,             0.67338,             0.73733,             0.40657,            0.031782,             0.01717,           0.0021556,             0.00802,             0.00802,             0.00802
                  62,            0.035095,            0.024339,           0.0035105,             0.86656,             0.67485,             0.73752,             0.40727,            0.031752,            0.017158,           0.0021502,            0.007987,            0.007987,            0.007987
